,term,equation,coef
0,L1.K4F1,K4F1,-0.29116676978606437
1,L1.K4F2,K4F1,0.035536262272941876
2,L1.curvature,K4F1,0.06608616794299121
3,L1.level,K4F1,0.5210008470492842
4,L1.slope,K4F1,0.3828749945527704
5,L2.K4F1,K4F1,-0.6764750385931073
6,L2.K4F2,K4F1,0.2992945542991022
7,L2.curvature,K4F1,0.010472152054485234
8,L2.level,K4F1,-0.16079278600156238
9,L2.slope,K4F1,-0.09305036554388621
10,const,K4F1,0.004629675111097499
11,L1.K4F1,K4F2,-0.29399714028561313
12,L1.K4F2,K4F2,-0.14480900264601726
13,L1.curvature,K4F2,0.0756243085295068
14,L1.level,K4F2,0.3470091241333512
15,L1.slope,K4F2,0.15123392859629467
16,L2.K4F1,K4F2,-0.8395363268763939
17,L2.K4F2,K4F2,0.290466352820952
18,L2.curvature,K4F2,0.018248323976933142
19,L2.level,K4F2,-0.3901983679572967
20,L2.slope,K4F2,-0.33273727366140127
21,const,K4F2,0.0008225916931560462
22,L1.K4F1,curvature,-0.04442005838073778
23,L1.K4F2,curvature,0.040367460924595144
24,L1.curvature,curvature,0.04898963081268253
25,L1.level,curvature,0.10532262213785692
26,L1.slope,curvature,0.277228720072769
27,L2.K4F1,curvature,0.031239677200883262
28,L2.K4F2,curvature,0.058838394777665455
29,L2.curvature,curvature,-0.16253257656156603
30,L2.level,curvature,-0.7911517920585098
31,L2.slope,curvature,-0.503711339610468
32,const,curvature,-0.017119429202313883
33,L1.K4F1,level,0.06337866371895541
34,L1.K4F2,level,-0.016524647432786088
35,L1.curvature,level,0.007901307224631296
36,L1.level,level,-0.013261991264749872
37,L1.slope,level,-0.24064550535507895
38,L2.K4F1,level,0.039182426105957124
39,L2.K4F2,level,-0.03672875399052071
40,L2.curvature,level,0.011764809713969348
41,L2.level,level,0.051018114196587694
42,L2.slope,level,0.13446775483629614
43,const,level,-0.012520291838134578
44,L1.K4F1,slope,-0.038448836821789976
45,L1.K4F2,slope,0.004501044287715588
46,L1.curvature,slope,0.030147540292458558
47,L1.level,slope,0.23852947917904846
48,L1.slope,slope,0.3852250185604042
49,L2.K4F1,slope,0.07381718663343358
50,L2.K4F2,slope,-0.05617202068407277
51,L2.curvature,slope,0.026781758818871446
52,L2.level,slope,0.12654427245682184
53,L2.slope,slope,-0.018867805011629234
54,const,slope,0.009471715646108743
