tenor,nobs,rsq,adj_rsq,b_const,t_const,p_const,b_y_lag,t_y_lag,p_y_lag,b_inflation,t_inflation,p_inflation,b_output,t_output,p_output,b_fedfunds,t_fedfunds,p_fedfunds
10Y,488,0.990788,0.990712,0.023935,0.809378,0.418696,0.982456,120.455696,0.0,0.01505,4.474454,1e-05,-0.000805,-0.890631,0.373571,0.002465,0.41432,0.678824
1M,488,0.991858,0.99179,0.009496,0.398827,0.690197,0.971304,58.906874,0.0,0.011624,3.48008,0.000547,0.001539,1.721937,0.085721,0.014047,1.109818,0.26763
1Y,488,0.993221,0.993165,-0.037254,-1.638033,0.102066,1.016197,68.81615,0.0,0.013664,4.272573,2.3e-05,0.001265,1.466576,0.143142,-0.023262,-1.961492,0.050396
20Y,488,0.99155,0.99148,0.035314,1.212236,0.226015,0.982797,145.003613,0.0,0.013534,4.365834,1.6e-05,-0.000948,-1.13867,0.255405,0.002241,0.47016,0.638453
2Y,488,0.991937,0.99187,-0.020226,-0.79002,0.429904,1.003164,70.798502,0.0,0.012876,3.695403,0.000245,0.001121,1.189509,0.234824,-0.013689,-1.204531,0.228974
30Y,488,0.989139,0.98905,0.068384,2.116606,0.034804,0.976009,133.23012,0.0,0.011944,3.450198,0.000609,-0.000699,-0.751664,0.452619,0.004193,0.823791,0.410465
3M,488,0.993813,0.993762,-0.024525,-1.165932,0.244217,1.00136,68.28036,0.0,0.013692,4.622667,5e-06,0.00143,1.800176,0.072457,-0.009614,-0.839942,0.401357
3Y,488,0.991211,0.991138,-0.004847,-0.177838,0.858925,0.992945,76.721533,0.0,0.012925,3.605164,0.000344,0.000862,0.889635,0.374105,-0.005932,-0.579074,0.562809
5Y,488,0.990675,0.990597,0.012518,0.435481,0.663408,0.984429,91.295725,0.0,0.013836,3.874471,0.000122,0.000205,0.213317,0.83117,0.000421,0.050876,0.959445
6M,488,0.993942,0.993892,-0.037209,-1.767481,0.077779,1.014241,69.965829,0.0,0.01418,4.759914,3e-06,0.001347,1.680811,0.093446,-0.020598,-1.793,0.073598
7Y,488,0.990621,0.990544,0.019725,0.673417,0.501004,0.98244,104.813699,0.0,0.014639,4.19946,3.2e-05,-0.00034,-0.362312,0.717278,0.002036,0.290247,0.771752
