,term,equation,coef
0,L1.curvature,curvature,0.049507598942202295
1,L1.level,curvature,0.1153431275694716
2,L1.slope,curvature,0.27253715250928323
3,L2.curvature,curvature,-0.15918117771894152
4,L2.level,curvature,-0.7634630291523379
5,L2.slope,curvature,-0.4944759002207215
6,const,curvature,-0.015267165536432443
7,L1.curvature,level,0.010583322483673533
8,L1.level,level,0.01156974777708046
9,L1.slope,level,-0.22822919915047116
10,L2.curvature,level,0.013861843522315554
11,L2.level,level,0.06497732660322131
12,L2.slope,level,0.15291220039111494
13,const,level,-0.012443902155976535
14,L1.curvature,slope,0.03117071071180684
15,L1.level,slope,0.24139968547847407
16,L1.slope,slope,0.37600967752684644
17,L2.curvature,slope,0.024316140443290765
18,L2.level,slope,0.1046943320883615
19,L2.slope,slope,-0.026793896929140193
20,const,slope,0.0075632774978181775
