,term,equation,coef
0,L1.10Y,10Y,2.269570886193617
1,L1.1M,10Y,-0.4226666080513207
2,L1.1Y,10Y,5.656733055514382
3,L1.20Y,10Y,-0.2940956689979645
4,L1.2Y,10Y,-9.456922198474818
5,L1.30Y,10Y,0.09753207622480814
6,L1.3M,10Y,2.0564341331899922
7,L1.3Y,10Y,9.87501691921237
8,L1.5Y,10Y,-4.339260101893477
9,L1.6M,10Y,-4.133821755619517
10,L1.7Y,10Y,-0.32279177974719053
11,const,10Y,0.0441018003567075
12,L1.10Y,1M,-3.6163573479133633
13,L1.1M,1M,-0.26597652088308493
14,L1.1Y,1M,-6.178787806255884
15,L1.20Y,1M,1.00463556114631
16,L1.2Y,1M,11.168803265262428
17,L1.30Y,1M,-0.2685714849405757
18,L1.3M,1M,1.07548579474219
19,L1.3Y,1M,-9.394327212156725
20,L1.5Y,1M,0.38021668473354725
21,L1.6M,1M,2.2898921671720203
22,L1.7Y,1M,4.772692625164868
23,const,1M,0.08423654340989738
24,L1.10Y,1Y,-10.411932470071035
25,L1.1M,1Y,-0.7970321830035276
26,L1.1Y,1Y,17.53567879360325
27,L1.20Y,1Y,1.3252803844070453
28,L1.2Y,1Y,-34.035441481772736
29,L1.30Y,1Y,-0.28814359795205413
30,L1.3M,1Y,4.236696593781583
31,L1.3Y,1Y,44.87119439001172
32,L1.5Y,1Y,-43.5700175157478
33,L1.6M,1Y,-10.109931970676985
34,L1.7Y,1Y,32.216919096345315
35,const,1Y,0.0806928092711475
36,L1.10Y,20Y,5.1125031156309655
37,L1.1M,20Y,-0.2172397958227639
38,L1.1Y,20Y,0.03235510000703983
39,L1.20Y,20Y,0.0610573373871776
40,L1.2Y,20Y,1.321701654555779
41,L1.30Y,20Y,0.24911740124409226
42,L1.3M,20Y,0.6653775877452748
43,L1.3Y,20Y,-3.8218424013877064
44,L1.5Y,20Y,9.189188908532866
45,L1.6M,20Y,-0.6412553872062345
46,L1.7Y,20Y,-10.964078315493357
47,const,20Y,0.06174962555711758
48,L1.10Y,2Y,-8.699929155255141
49,L1.1M,2Y,-0.7664837678757599
50,L1.1Y,2Y,15.714728296945196
51,L1.20Y,2Y,1.0437993129201475
52,L1.2Y,2Y,-32.04565795431744
53,L1.30Y,2Y,-0.22036908416899964
54,L1.3M,2Y,3.9118480888398395
55,L1.3Y,2Y,42.94283188806816
56,L1.5Y,2Y,-39.90470075546775
57,L1.6M,2Y,-9.287795650647146
58,L1.7Y,2Y,28.288177562589897
59,const,2Y,0.0634217367150698
60,L1.10Y,30Y,14.62124455970862
61,L1.1M,30Y,0.11531236361058728
62,L1.1Y,30Y,-9.976415930887457
63,L1.20Y,30Y,-1.9937559237044087
64,L1.2Y,30Y,23.920948223255362
65,L1.30Y,30Y,1.3981735498616836
66,L1.3M,30Y,-1.6337664319479115
67,L1.3Y,30Y,-35.60945120565558
68,L1.5Y,30Y,43.819145900606586
69,L1.6M,30Y,5.104327990387015
70,L1.7Y,30Y,-38.782294861670685
71,const,30Y,0.07037636013622176
72,L1.10Y,3M,-5.344581125470258
73,L1.1M,3M,-0.3608628164158336
74,L1.1Y,3M,1.1660355127915107
75,L1.20Y,3M,0.975567834741343
76,L1.2Y,3M,-4.010906960372559
77,L1.30Y,3M,-0.23039484589023798
78,L1.3M,3M,1.319877346128667
79,L1.3Y,3M,8.60159965352389
80,L1.5Y,3M,-13.546451534760354
81,L1.6M,3M,-0.5044527142685933
82,L1.7Y,3M,12.90448943041325
83,const,3M,0.0902428670679406
84,L1.10Y,3Y,-5.8983014993850285
85,L1.1M,3Y,-0.6643462217947058
86,L1.1Y,3Y,12.887276050711705
87,L1.20Y,3Y,0.6656298903984978
88,L1.2Y,3Y,-26.735993220471034
89,L1.30Y,3Y,-0.1300637434367578
90,L1.3M,3Y,3.2954765611448513
91,L1.3Y,3Y,35.110771111093754
92,L1.5Y,3Y,-30.272117218922652
93,L1.6M,3Y,-7.684969618107709
94,L1.7Y,3Y,20.40570157106771
95,const,3Y,0.050739099664868226
96,L1.10Y,5Y,-1.8778925417949655
97,L1.1M,5Y,-0.5301157255129931
98,L1.1Y,5Y,9.114915832880456
99,L1.20Y,5Y,0.12419996055830754
100,L1.2Y,5Y,-17.746686214107033
101,L1.30Y,5Y,-0.0005985930248800786
102,L1.3M,5Y,2.5981688482892578
103,L1.3Y,5Y,21.410875650178163
104,L1.5Y,5Y,-15.389349669720012
105,L1.6M,5Y,-5.7746217301086284
106,L1.7Y,5Y,9.053618551321001
107,const,5Y,0.03911282379669952
108,L1.10Y,6M,-8.411940252416198
109,L1.1M,6M,-0.5583752995738113
110,L1.1Y,6M,10.880936573426515
111,L1.20Y,6M,1.1961273757208422
112,L1.2Y,6M,-21.98586624921435
113,L1.30Y,6M,-0.2658315824291864
114,L1.3M,6M,2.751308578190654
115,L1.3Y,6M,29.96036004983057
116,L1.5Y,6M,-31.208405977232644
117,L1.6M,6M,-5.762506586409081
118,L1.7Y,6M,24.37553676984608
119,const,6M,0.08913420260182679
120,L1.10Y,7Y,0.22256395860793401
121,L1.1M,7Y,-0.46858538754235984
122,L1.1Y,7Y,7.212736837528252
123,L1.20Y,7Y,-0.15139668786569638
124,L1.2Y,7Y,-12.963386150027151
125,L1.30Y,7Y,0.06348449676054058
126,L1.3M,7Y,2.308827632433659
127,L1.3Y,7Y,14.545444197228417
128,L1.5Y,7Y,-8.867975107069489
129,L1.6M,7Y,-4.903710879448958
130,L1.7Y,7Y,3.9863334187573463
131,const,7Y,0.03825918832758027
